;state_code;county_code;site_num;address;state;county;city;date_local;unit_NO2;mean_NO2;firstMV_NO2;firstMH_NO2;aqi_NO2;unit_O3;mean_O3;firstMV_O3;firstMH_O3;aqi_O3;unit_SO2;mean_SO2;firstMV_SO2;firstMH_SO2;aqi_SO2;unit_CO;mean_CO;firstMV_CO;firstMH_CO;aqi_CO
40360;11;1;41;420 34th Street N.E.,Washington, DC 20019;District Of Columbia;District of Columbia;Washington;2000-05-29;Parts per billion;15.958332999999998;32.0;20;30;Parts per million;0.014542;0.023;0;19;Parts per billion;3.275;4.3;8;;Parts per million;0.570833;0.9;22;
213782;6;75;5;10 ARKANSAS ST.;California;San Francisco;San Francisco;2002-11-23;Parts per billion;11.869565;16.0;17;15;Parts per million;0.017292;0.023;0;19;Parts per billion;1.785714;2.0;8;;Parts per million;0.758333;0.8;0;9.0
169511;42;71;7;ABRAHAM LINCOLN JR HIGH GROFFTOWN RD;Pennsylvania;Lancaster;Lancaster;2001-10-07;Parts per billion;3.916667;14.0;23;13;Parts per million;0.0239169999999999;0.033;10;28;Parts per billion;0.625;5.0;6;7.0;Parts per million;0.0;0.0;0;
392377;6;83;2004;128 S 'H' ST, LOMPOC;California;Santa Barbara;Lompoc;2004-10-06;Parts per billion;4.826087;12.0;7;11;Parts per million;0.022000000000000002;0.034;10;29;Parts per billion;0.128571;0.6;11;;Parts per million;0.420833;0.6;8;7.0
307398;6;83;2004;128 S 'H' ST, LOMPOC;California;Santa Barbara;Lompoc;2003-07-10;Parts per billion;3.130435;8.0;7;8;Parts per million;0.023417;0.0279999999999999;10;24;Parts per billion;0.0;0.0;5;;Parts per million;0.229167;0.3;7;3.0
294407;6;59;1003;2850 MESA VERDE DR EAST, COSTA MESA;California;Orange;Costa Mesa;2003-12-09;Parts per billion;33.318182;48.0;8;45;Parts per million;0.009917;0.022000000000000002;9;19;Parts per billion;5.671429;7.6;11;;Parts per million;1.7136360000000002;3.0;22;
132809;8;1;3001;3174 E. 78TH AVE.;Colorado;Adams;Welby;2001-03-23;Parts per billion;19.0;54.0;7;51;Parts per million;0.015208000000000001;0.0279999999999999;9;24;Parts per billion;1.695652;25.0;8;36.0;Parts per million;0.626087;2.2;7;
385050;6;73;1007;330A 12TH AVE., SAN DIEGO, CA. 92112;California;San Diego;San Diego;2004-03-12;Parts per billion;10.695652;24.0;9;23;Parts per million;0.040375;0.046;19;39;Parts per billion;2.0;2.0;2;;Parts per million;0.6869569999999999;1.0;10;
116607;6;71;306;14306 PARK AVE., VICTORVILLE, CA;California;San Bernardino;Victorville;2001-08-20;Parts per billion;20.409091;35.0;5;33;Parts per million;0.038875;0.057;9;48;Parts per billion;1.471429;2.0;2;;Parts per million;0.4272729999999999;0.6;5;
99095;6;13;1003;UNIT 759 EL PORTAL SHOPPING CENTER, San Pablo;California;Contra Costa;San Pablo;2001-06-10;Parts per billion;9.043478;21.0;20;20;Parts per million;0.025792000000000002;0.033;7;28;Parts per billion;0.909091;1.0;0;1.0;Parts per million;0.216667;0.3;20;3.0
