;state_code;county_code;site_num;address;state;county;city;date_local;unit_NO2;mean_NO2;firstMV_NO2;firstMH_NO2;aqi_NO2;unit_O3;mean_O3;firstMV_O3;firstMH_O3;aqi_O3;unit_SO2;mean_SO2;firstMV_SO2;firstMH_SO2;aqi_SO2;unit_CO;mean_CO;firstMV_CO;firstMH_CO;aqi_CO
36460;6;95;4;304 TUOLUMNE ST.;California;Solano;Vallejo;2000-09-22;Parts per billion;9.913043;18.0;19;17;Parts per million;0.017;0.025;10;21;Parts per billion;1.136364;2.0;5;3.0;Parts per million;0.395652;0.6;19;
8220;6;13;3001;583 W. 10TH ST., PITTSBURG;California;Contra Costa;Pittsburg;2000-04-05;Parts per billion;12.782608999999999;25.0;18;24;Parts per million;0.024333;0.03;10;25;Parts per billion;0.909091;3.0;17;4.0;Parts per million;0.486957;0.6;5;
157453;36;81;124;Queens College   65-30 Kissena Blvd  Parking Lot#6;New York;Queens;New York;2001-10-13;Parts per billion;27.208333000000003;42.0;8;40;Parts per million;0.021875;0.036000000000000004;13;31;Parts per billion;7.8;12.3;8;;Parts per million;0.670833;1.4;7;
366575;6;13;1002;5551 BETHEL ISLAND RD;California;Contra Costa;Bethel Island;2004-05-19;Parts per billion;5.73913;12.0;4;11;Parts per million;0.028875;0.038;10;32;Parts per billion;1.272727;4.0;9;6.0;Parts per million;0.2;0.2;0;
330764;29;510;86;MARGARETTA: 4520 Margaretta, St. Louis, MO 63115;Missouri;St. Louis City;St. Louis;2003-07-06;Parts per billion;7.5;16.0;22;15;Parts per million;0.029375;0.045;8;38;Parts per billion;2.4375;5.3;23;;Parts per million;0.245833;0.3;0;3.0
351323;42;101;4;1501 E. LYCOMING AVE.;Pennsylvania;Philadelphia;Philadelphia;2003-05-26;Parts per billion;14.083332999999998;28.0;21;26;Parts per million;0.016;0.026000000000000002;0;22;Parts per billion;0.0;0.0;0;0.0;Parts per million;0.2125;0.5;21;
111725;6;65;8001;5888 MISSION BLVD., RUBIDOUX;California;Riverside;Rubidoux;2001-02-06;Parts per billion;22.782609;48.0;8;45;Parts per million;0.0205;0.033;23;28;Parts per billion;0.434783;4.0;5;6.0;Parts per million;0.916667;1.9;8;22.0
339412;37;119;41;1130 EASTWAY DRIVE;North Carolina;Mecklenburg;Charlotte;2003-08-10;Parts per billion;8.916667;26.0;0;25;Parts per million;0.031458;0.043;15;36;Parts per billion;0.5;2.0;2;;Parts per million;0.479167;0.6;1;7.0
376806;6;37;5005;7201 W. WESTCHESTER PARKWAY;California;Los Angeles;Los Angeles;2004-09-05;Parts per billion;19.304348;65.0;23;63;Parts per million;0.057583;0.099;11;159;Parts per billion;3.871429;6.3;23;;Parts per million;0.404348;1.4;23;
412061;26;163;16;2451 MARQUETTE;Michigan;Wayne;Detroit;2004-07-19;Parts per billion;18.0;45.0;22;42;Parts per million;0.026458;0.051;11;43;Parts per billion;0.208333;1.0;12;1.0;Parts per million;0.625;0.8;0;9.0
233080;20;191;2;707 E 119TH ST SOUTH,PECK COMMUNITY BLDG;Kansas;Sumner;Not in a city;2002-04-21;Parts per billion;4.125;23.0;22;22;Parts per million;0.021875;0.04;12;34;Parts per billion;0.0;0.0;0;0.0;Parts per million;0.0;0.0;0;0.0
22740;6;73;1;80 E. 'J' ST., CHULA VISTA;California;San Diego;Chula Vista;2000-02-23;Parts per billion;11.086957;22.0;6;21;Parts per million;0.0340829999999999;0.045;21;38;Parts per billion;1.971429;3.0;14;;Parts per million;0.465217;1.1;7;
49640;21;19;15;32ND & RAILROAD STS.;Kentucky;Boyd;Ashland;2000-07-21;Parts per billion;11.0;29.0;0;27;Parts per million;0.036958;0.059000000000000004;10;50;Parts per billion;9.0;18.0;11;;Parts per million;0.1260869999999999;0.5;8;
299316;6;71;306;14306 PARK AVE., VICTORVILLE, CA;California;San Bernardino;Victorville;2003-11-26;Parts per billion;24.636364;41.0;18;39;Parts per million;0.015583000000000001;0.039;9;33;Parts per billion;0.8857139999999999;3.3;8;;Parts per million;0.325;0.6;23;7.0
125902;6;83;2011;380 N FAIRVIEW AVENUE, GOLETA;California;Santa Barbara;Goleta;2001-03-17;Parts per billion;11.65;22.0;19;21;Parts per million;0.02795;0.046;11;39;Parts per billion;0.0;0.0;0;0.0;Parts per million;0.405882;0.5;19;6.0
378936;6;65;8001;5888 MISSION BLVD., RUBIDOUX;California;Riverside;Rubidoux;2004-03-15;Parts per billion;29.652174;40.0;10;38;Parts per million;0.022958000000000003;0.053;11;45;Parts per billion;3.7391300000000003;5.0;7;7.0;Parts per million;0.921739;1.2;8;
83501;48;141;37;250 Rim Rd;Texas;El Paso;El Paso;2000-01-26;Parts per billion;14.380951999999999;49.0;9;46;Parts per million;0.021292;0.039;22;33;Parts per billion;1.772727;7.0;8;10.0;Parts per million;0.633333;1.3;0;15.0
162917;42;3;10;CARNEGIE SCIENCE CENTER - 1 ALLEGHENY RD;Pennsylvania;Allegheny;Pittsburgh;2001-04-02;Parts per billion;18.791667;50.0;19;47;Parts per million;0.0215;0.045;10;38;Parts per billion;6.4166669999999995;14.0;14;20.0;Parts per million;0.158333;1.1;22;
210084;6;73;1007;330A 12TH AVE., SAN DIEGO, CA. 92112;California;San Diego;San Diego;2002-04-19;Parts per billion;14.761904999999999;46.0;5;43;Parts per million;0.0343329999999999;0.049;12;42;Parts per billion;3.0;3.0;0;4.0;Parts per million;0.454167;0.7;8;8.0
34467;6;87;3; Center St;California;Santa Cruz;Davenport;2000-04-26;Parts per billion;7.125;16.0;15;15;Parts per million;0.029667000000000002;0.037000000000000005;11;31;Parts per billion;1.0375;1.3;17;;Parts per million;0.275;0.3;6;3.0
63262;34;7;3;"COPEWOOD E. DAVIS STS; TRAILER";New Jersey;Camden;Camden;2000-12-14;Parts per billion;27.681818;41.0;10;39;Parts per million;0.002208;0.005;0;4;Parts per billion;11.0;26.6;14;;Parts per million;0.566667;1.2;10;
130686;6;95;4;304 TUOLUMNE ST.;California;Solano;Vallejo;2001-08-30;Parts per billion;6.73913;11.0;9;10;Parts per million;0.0205419999999999;0.023;10;19;Parts per billion;0.909091;2.0;13;3.0;Parts per million;0.275;0.3;0;3.0
7530;6;13;1003;UNIT 759 EL PORTAL SHOPPING CENTER, San Pablo;California;Contra Costa;San Pablo;2000-10-13;Parts per billion;19.304348;32.0;10;30;Parts per million;0.009208;0.023;10;19;Parts per billion;2.028571;5.6;11;;Parts per million;0.4521739999999999;1.0;6;
46194;20;107;2;COUNTY RD 1103 .7 MI SOUTH OF K-52;Kansas;Linn;Not in a city;2000-01-17;Parts per billion;12.125;20.0;21;19;Parts per million;0.005958;0.01;0;8;Parts per billion;0.625;3.0;8;4.0;Parts per million;0.883333;1.1;20;
170093;42;73;15;CROTON ST & JEFFERSON ST.;Pennsylvania;Lawrence;New Castle;2001-07-29;Parts per billion;4.875;8.0;23;8;Parts per million;0.0293329999999999;0.039;7;33;Parts per billion;9.6375;27.0;17;;Parts per million;0.008333;0.1;0;
236518;21;111;51;7201 WATSON LN, WATSON LN ELEMENTARY SCH;Kentucky;Jefferson;Louisville;2002-05-07;Parts per billion;10.458333;22.0;13;21;Parts per million;0.019667;0.033;11;28;Parts per billion;2.416667;9.0;13;13.0;Parts per million;0.2333329999999999;0.4;22;5.0
362563;4;13;3003;2857 N MILLER RD-S SCOTTSDALE STN;Arizona;Maricopa;Scottsdale;2004-02-17;Parts per billion;32.818182;58.0;19;55;Parts per million;0.017435;0.037000000000000005;7;31;Parts per billion;4.380952;6.0;19;9.0;Parts per million;1.25;2.6;7;
92432;4;13;3002;1645 E ROOSEVELT ST-CENTRAL PHOENIX STN;Arizona;Maricopa;Phoenix;2001-07-16;Parts per billion;21.565217;39.0;0;37;Parts per million;0.022875;0.042;11;36;Parts per billion;2.314286;3.3;5;;Parts per million;0.352174;1.2;5;
249284;36;5;83;200TH STREET AND SOUTHERN BLVD Harding Lab;New York;Bronx;New York;2002-11-20;Parts per billion;37.958333;53.0;15;50;Parts per million;0.00175;0.004;8;3;Parts per billion;18.8;31.3;8;;Parts per million;0.908333;1.9;23;22.0
276650;4;19;1011;1237 S. BEVERLY , TUCSON;Arizona;Pima;Tucson;2003-03-10;Parts per billion;21.5;48.0;21;45;Parts per million;0.028292;0.052000000000000005;10;44;Parts per billion;1.666667;7.0;11;10.0;Parts per million;0.445833;0.5;7;6.0
91338;51;510;9;517 N SAINT ASAPH ST, ALEXANDRIA HEALTH;Virginia;Alexandria City;Alexandria;2000-08-15;Parts per billion;25.083333;34.0;20;32;Parts per million;0.028625;0.054000000000000006;10;46;Parts per billion;7.25;14.0;10;20.0;Parts per million;0.470833;0.9;6;
95912;6;13;2;2956-A TREAT BOULEVARD;California;Contra Costa;Concord;2001-05-18;Parts per billion;16.391304;37.0;20;35;Parts per million;0.029167000000000002;0.0559999999999999;10;47;Parts per billion;1.363636;3.0;9;4.0;Parts per million;0.5521739999999999;0.9;20;
420016;36;103;9;57 DIVISION STREET;New York;Suffolk;Holtsville;2004-09-29;Parts per billion;12.083333;20.0;21;19;Parts per million;0.021083;0.045;0;38;Parts per billion;2.7;6.0;23;;Parts per million;0.075;0.2;23;2.0
387278;6;73;2007;1100 PASEO INTERNATIONAL, OTAY MESA, CA;California;San Diego;San Diego;2004-09-29;Parts per billion;18.130435000000002;39.0;23;37;Parts per million;0.023708;0.036000000000000004;8;31;Parts per billion;8.542857000000001;13.0;2;;Parts per million;0.5173909999999999;1.0;6;
202135;6;59;1003;2850 MESA VERDE DR EAST, COSTA MESA;California;Orange;Costa Mesa;2002-07-08;Parts per billion;7.26087;17.0;8;16;Parts per million;0.045375;0.0579999999999999;8;49;Parts per billion;0.0;0.0;2;;Parts per million;0.286957;0.5;8;
295772;6;65;8001;5888 MISSION BLVD., RUBIDOUX;California;Riverside;Rubidoux;2003-11-19;Parts per billion;27.913043;44.0;17;42;Parts per million;0.0085;0.019;8;16;Parts per billion;2.314286;4.0;23;;Parts per million;1.025;2.1;23;24.0
73866;42;21;11;MILLER AUTO SHOP 1 MESSENGER ST;Pennsylvania;Cambria;Johnstown;2000-06-18;Parts per billion;10.666667;29.0;20;27;Parts per million;0.018708000000000002;0.031;11;26;Parts per billion;9.291667;88.0;22;106.0;Parts per million;0.341667;0.5;9;
64155;36;5;83;200TH STREET AND SOUTHERN BLVD Harding Lab;New York;Bronx;New York;2000-11-27;Parts per billion;21.5;31.0;0;29;Parts per million;0.0018329999999999;0.003;5;3;Parts per billion;17.636364;26.0;5;37.0;Parts per million;0.808333;0.9;9;10.0
42530;12;95;2002;MORRIS BLVD.;Florida;Orange;Winter Park;2000-12-03;Parts per billion;8.5;25.0;19;24;Parts per million;0.016708;0.02;0;17;Parts per billion;2.583333;25.0;19;36.0;Parts per million;0.870833;1.0;0;
85079;48;141;58;5050A Yvette Drive;Texas;El Paso;El Paso;2000-11-02;Parts per billion;19.625;40.0;18;38;Parts per million;0.023333;0.039;9;33;Parts per billion;0.166667;2.0;18;3.0;Parts per million;0.7;1.0;1;11.0
319439;17;31;4002;1820 S. 51ST AVE.;Illinois;Cook;Cicero;2003-09-06;Parts per billion;40.458333;68.0;21;66;Parts per million;0.023833;0.052000000000000005;10;44;Parts per billion;7.175;19.0;17;;Parts per million;0.558333;0.8;0;
435348;42;125;5;CHARLER01 WASTE TREATMENT PLANT;Pennsylvania;Washington;Charleroi;2004-05-18;Parts per billion;7.3333330000000005;17.0;6;16;Parts per million;0.0285;0.036000000000000004;10;31;Parts per billion;6.0;19.0;23;27.0;Parts per million;0.695833;1.2;21;14.0
262876;42;73;15;CROTON ST & JEFFERSON ST.;Pennsylvania;Lawrence;New Castle;2002-05-18;Parts per billion;7.0;13.0;23;12;Parts per million;0.024958;0.034;11;29;Parts per billion;0.0;0.0;0;0.0;Parts per million;0.17916700000000002;0.2;0;2.0
16032;6;37;5001;5234 W. 120TH ST., HAWTHORNE;California;Los Angeles;Hawthorne;2000-11-03;Parts per billion;46.521739000000004;71.0;8;69;Parts per million;0.007375;0.018000000000000002;9;15;Parts per billion;3.5;5.3;8;;Parts per million;2.591304;5.8;7;
345561;42;17;12;ROCKVIEW LANE;Pennsylvania;Bucks;Bristol;2003-09-01;Parts per billion;3.791667;7.0;0;7;Parts per million;0.016333;0.023;13;19;Parts per billion;1.575;3.0;2;;Parts per million;0.25;0.3;1;
251442;36;103;9;57 DIVISION STREET;New York;Suffolk;Holtsville;2002-06-30;Parts per billion;14.208332999999998;43.0;0;41;Parts per million;0.058208;0.07200000000000001;9;90;Parts per billion;3.975;6.3;11;;Parts per million;0.158333;0.5;0;6.0
319614;17;31;4002;1820 S. 51ST AVE.;Illinois;Cook;Cicero;2003-10-20;Parts per billion;30.875;49.0;3;46;Parts per million;0.025875;0.042;12;36;Parts per billion;8.333333;28.0;10;40.0;Parts per million;1.2125;1.4;0;16.0
145768;21;67;12;FAYETTE COUNTY HEALTH DEPT, 650 NEWTOWN PIKE;Kentucky;Fayette;Lexington-Fayette (corporate name for Lexington);2001-10-17;Parts per billion;10.826087;26.0;21;25;Parts per million;0.011875;0.025;10;21;Parts per billion;2.083333;5.0;11;7.0;Parts per million;0.041667;0.4;23;5.0
205975;6;67;6;DEL PASO-2701 AVALON DR, SACRAMENTO;California;Sacramento;Arden-Arcade;2002-06-14;Parts per billion;9.434783;13.0;22;12;Parts per million;0.046708;0.065;11;67;Parts per billion;0.086957;1.0;22;1.0;Parts per million;0.2521739999999999;0.3;5;
283307;6;13;3001;583 W. 10TH ST., PITTSBURG;California;Contra Costa;Pittsburg;2003-02-23;Parts per billion;18.347826;32.0;0;30;Parts per million;0.0162919999999999;0.031;9;26;Parts per billion;4.014286;8.6;11;;Parts per million;0.652174;1.2;0;
94642;4;19;1011;1237 S. BEVERLY , TUCSON;Arizona;Pima;Tucson;2001-07-24;Parts per billion;7.791666999999999;16.0;5;15;Parts per million;0.032333;0.042;8;36;Parts per billion;0.125;1.0;14;;Parts per million;0.1375;0.3;7;
233945;20;209;21;1210 N. 10TH ST.,JFK RECREATION CENTER;Kansas;Wyandotte;Kansas City;2002-08-15;Parts per billion;14.166667000000002;24.0;6;23;Parts per million;0.03175;0.046;11;39;Parts per billion;1.791667;2.0;0;3.0;Parts per million;0.670833;0.9;19;
333770;34;13;16;LEXINGTON & E. FERRY STS., NEWARK;New Jersey;Essex;Newark;2003-02-16;Parts per billion;17.166667;28.0;19;26;Parts per million;0.018958000000000003;0.024;4;20;Parts per billion;1.958333;5.0;3;7.0;Parts per million;0.45;0.6;23;7.0
408023;20;209;21;1210 N. 10TH ST.,JFK RECREATION CENTER;Kansas;Wyandotte;Kansas City;2004-11-16;Parts per billion;19.380952;28.0;17;26;Parts per million;0.005667;0.012;9;10;Parts per billion;2.833333;3.0;2;;Parts per million;0.4444439999999999;0.7;19;8.0
398251;6;111;3001;545 CENTRAL AVENUE, OXNARD, CA  93030;California;Ventura;Not in a city;2004-02-06;Parts per billion;16.590909;36.0;7;34;Parts per million;0.018083000000000002;0.033;9;28;Parts per billion;0.6;1.0;8;;Parts per million;0.3125;0.4;0;5.0
334755;36;5;83;200TH STREET AND SOUTHERN BLVD Harding Lab;New York;Bronx;New York;2003-05-28;Parts per billion;37.291667;55.0;17;52;Parts per million;0.009958;0.021;8;18;Parts per billion;6.725;14.6;8;;Parts per million;0.941667;1.3;8;
380637;6;67;2;7823 BLACKFOOT WAY, NORTH HIGHLANDS;California;Sacramento;Not in a city;2004-07-01;Parts per billion;8.521739;11.0;6;10;Parts per million;0.03575;0.06;12;51;Parts per billion;0.608696;1.0;1;1.0;Parts per million;0.345833;0.4;13;5.0
354590;42;133;8;HILL ST.;Pennsylvania;York;York;2003-09-23;Parts per billion;15.25;34.0;21;32;Parts per million;0.021125;0.04;10;34;Parts per billion;1.125;4.0;7;6.0;Parts per million;0.275;0.4;9;5.0
414389;33;11;20;PEARL ST;New Hampshire;Hillsborough;Manchester;2004-07-02;Parts per billion;9.083333;18.0;7;17;Parts per million;0.032875;0.044000000000000004;9;37;Parts per billion;0.458333;2.0;6;3.0;Parts per million;0.275;0.3;0;3.0
93332;4;13;3003;2857 N MILLER RD-S SCOTTSDALE STN;Arizona;Maricopa;Scottsdale;2001-03-04;Parts per billion;16.791667;43.0;19;41;Parts per million;0.022667;0.047;10;40;Parts per billion;4.1875;7.0;23;;Parts per million;0.55;2.0;23;
181852;4;13;3002;1645 E ROOSEVELT ST-CENTRAL PHOENIX STN;Arizona;Maricopa;Phoenix;2002-07-21;Parts per billion;7.25;16.0;5;15;Parts per million;0.027333;0.0409999999999999;10;35;Parts per billion;0.825;2.0;23;;Parts per million;0.17916700000000002;0.2;0;2.0
393510;6;83;2011;380 N FAIRVIEW AVENUE, GOLETA;California;Santa Barbara;Goleta;2004-07-16;Parts per billion;9.608696;17.0;6;16;Parts per million;0.02755;0.044000000000000004;9;37;Parts per billion;0.565217;2.0;9;3.0;Parts per million;0.308696;0.5;6;
15643;6;37;5001;5234 W. 120TH ST., HAWTHORNE;California;Los Angeles;Hawthorne;2000-07-29;Parts per billion;16.869564999999998;34.0;1;32;Parts per million;0.02575;0.032;8;27;Parts per billion;3.6521739999999996;11.0;9;16.0;Parts per million;0.183333;0.3;5;3.0
194734;6;37;30;651 S. MOTT STREET (SB 25 TRAILER);California;Los Angeles;Los Angeles;2002-03-02;Parts per billion;33.217391;54.0;20;51;Parts per million;0.022625;0.042;10;36;Parts per billion;1.6521740000000005;6.0;23;9.0;Parts per million;1.3875;2.5;4;28.0
247286;34;13;16;LEXINGTON & E. FERRY STS., NEWARK;New Jersey;Essex;Newark;2002-06-09;Parts per billion;20.416667;36.0;20;34;Parts per million;0.041542;0.065;11;67;Parts per billion;1.5;5.0;21;7.0;Parts per million;0.520833;0.7;21;8.0
251149;36;103;9;57 DIVISION STREET;New York;Suffolk;Holtsville;2002-04-18;Parts per billion;21.791667;59.0;0;56;Parts per million;0.053958000000000006;0.068;10;77;Parts per billion;6.342857;8.0;8;;Parts per million;0.075;0.5;4;
106185;6;37;1103;1630 N MAIN ST, LOS ANGELES;California;Los Angeles;Los Angeles;2001-03-28;Parts per billion;39.173913;48.0;18;45;Parts per million;0.021708;0.035;10;30;Parts per billion;3.5652169999999996;5.0;5;7.0;Parts per million;0.720833;0.9;0;10.0
156318;36;81;97;56TH AVE AT SPRINGFIELD BLVD;New York;Queens;New York;2001-05-21;Parts per billion;18.833333;31.0;18;29;Parts per million;0.019958;0.0279999999999999;0;24;Parts per billion;2.6125;7.0;14;;Parts per million;0.20416700000000002;0.3;13;3.0
160370;37;119;41;1130 EASTWAY DRIVE;North Carolina;Mecklenburg;Charlotte;2001-10-24;Parts per billion;11.041667;21.0;0;20;Parts per million;0.0240419999999999;0.04;10;34;Parts per billion;2.0;2.0;2;;Parts per million;0.5625;0.7;0;8.0
404208;17;163;10;13TH & TUDOR;Illinois;Saint Clair;East Saint Louis;2004-06-01;Parts per billion;13.791667000000002;21.0;21;20;Parts per million;0.024615;0.052000000000000005;11;44;Parts per billion;2.583333;6.0;7;9.0;Parts per million;0.31666700000000003;0.6;21;
44692;17;31;8003;1703 STATE ST.;Illinois;Cook;Calumet City (PU RR name Calumet Park (sta.));2000-04-19;Parts per billion;24.047619;43.0;6;41;Parts per million;0.009292;0.018000000000000002;16;15;Parts per billion;6.642857000000001;8.3;8;;Parts per million;0.9181819999999999;1.8;11;
407159;20;209;21;1210 N. 10TH ST.,JFK RECREATION CENTER;Kansas;Wyandotte;Kansas City;2004-03-28;Parts per billion;10.708333;40.0;21;38;Parts per million;0.02625;0.045;11;38;Parts per billion;2.2375;5.6;11;;Parts per million;0.654167;0.9;22;10.0
372166;6;37;1002;228 W. PALM AVE., BURBANK;California;Los Angeles;Burbank;2004-03-26;Parts per billion;26.043478;48.0;20;45;Parts per million;0.029958;0.0409999999999999;9;35;Parts per billion;1.457143;3.3;11;;Parts per million;0.3625;0.5;0;6.0
81466;42;129;8;DONOHOE ROAD - PENN DOT MAINT DIST BLDG;Pennsylvania;Westmoreland;Greensburg;2000-09-11;Parts per billion;18.791667;28.0;16;26;Parts per million;0.022000000000000002;0.03;10;25;Parts per billion;17.041667;47.0;13;65.0;Parts per million;0.345833;0.7;7;
233134;20;209;21;1210 N. 10TH ST.,JFK RECREATION CENTER;Kansas;Wyandotte;Kansas City;2002-01-04;Parts per billion;23.0;36.0;18;34;Parts per million;0.01075;0.017;8;14;Parts per billion;3.5;5.0;18;7.0;Parts per million;0.620833;0.8;18;9.0
265059;42;95;25;WASHINGTON & CAMBRIA STS. FREEMANSBURG;Pennsylvania;Northampton;Freemansburg;2002-09-13;Parts per billion;14.041667000000002;22.0;9;21;Parts per million;0.037000000000000005;0.066;12;71;Parts per billion;9.083333;15.0;11;21.0;Parts per million;0.358333;1.5;6;
336956;36;103;9;57 DIVISION STREET;New York;Suffolk;Holtsville;2003-01-19;Parts per billion;29.791666999999997;45.0;0;42;Parts per million;0.01325;0.021;23;18;Parts per billion;21.541667;35.0;10;50.0;Parts per million;0.420833;1.3;1;15.0
21479;6;71;306;14306 PARK AVE., VICTORVILLE, CA;California;San Bernardino;Victorville;2000-04-14;Parts per billion;11.565217;25.0;21;24;Parts per million;0.024708;0.033;11;28;Parts per billion;0.913043;1.0;0;1.0;Parts per million;0.15;0.2;12;2.0
201409;6;37;5001;5234 W. 120TH ST., HAWTHORNE;California;Los Angeles;Hawthorne;2002-12-29;Parts per billion;17.782609;45.0;7;42;Parts per million;0.01725;0.036000000000000004;10;31;Parts per billion;0.0;0.0;2;;Parts per million;0.395652;1.2;5;
261728;42;69;2006;GEORGE ST TROOP AND CITY OF SCRANTON;Pennsylvania;Lackawanna;Scranton;2002-10-13;Parts per billion;6.75;16.0;15;15;Parts per million;0.022833000000000003;0.0289999999999999;18;25;Parts per billion;1.291667;2.0;7;3.0;Parts per million;0.154167;0.2;10;2.0
415070;34;7;3;"COPEWOOD E. DAVIS STS; TRAILER";New Jersey;Camden;Camden;2004-04-04;Parts per billion;13.708332999999998;22.0;0;21;Parts per million;0.021625;0.031;19;26;Parts per billion;4.925;11.0;2;;Parts per million;0.408333;0.6;5;
50147;21;59;5;716 PLEASANT VALLEY ROAD;Kentucky;Daviess;Not in a city;2000-03-25;Parts per billion;11.739130000000001;35.0;22;33;Parts per million;0.025417;0.044000000000000004;10;37;Parts per billion;3.913043;18.0;21;26.0;Parts per million;0.0;0.0;0;0.0
293644;6;59;1003;2850 MESA VERDE DR EAST, COSTA MESA;California;Orange;Costa Mesa;2003-05-28;Parts per billion;15.782608999999999;36.0;7;34;Parts per million;0.051792;0.07200000000000001;11;90;Parts per billion;0.457143;1.3;11;;Parts per million;0.529167;0.8;9;9.0
69423;40;71;9003;RT 1, BOX 1980  PONCA CITY, OK  74601;Oklahoma;Kay;Ponca City;2000-07-11;Parts per billion;7.0;15.0;7;14;Parts per million;0.046875;0.0579999999999999;11;49;Parts per billion;0.075;0.6;8;;Parts per million;0.033333;0.1;9;1.0
77489;42;91;13;STATE ARMORY - 1046 BELVOIR RD;Pennsylvania;Montgomery;Norristown;2000-09-02;Parts per billion;10.458333;20.0;0;19;Parts per million;0.0204169999999999;0.042;10;36;Parts per billion;1.166667;9.0;17;13.0;Parts per million;0.366667;0.5;0;6.0
111081;6;59;1003;2850 MESA VERDE DR EAST, COSTA MESA;California;Orange;Costa Mesa;2001-08-07;Parts per billion;8.391304;14.0;5;13;Parts per million;0.026667000000000003;0.039;9;33;Parts per billion;1.7391299999999998;3.0;7;4.0;Parts per million;0.633333;0.7;10;8.0
273204;48;141;37;250 Rim Rd;Texas;El Paso;El Paso;2002-10-18;Parts per billion;15.625;25.0;18;24;Parts per million;0.017292;0.023;9;19;Parts per billion;0.0;0.0;0;0.0;Parts per million;0.320833;0.4;7;5.0
75771;42;71;7;ABRAHAM LINCOLN JR HIGH GROFFTOWN RD;Pennsylvania;Lancaster;Lancaster;2000-08-20;Parts per billion;7.625;23.0;21;22;Parts per million;0.018833000000000003;0.039;11;33;Parts per billion;1.8875;6.0;20;;Parts per million;0.1333329999999999;0.5;0;6.0
318539;12;95;2002;MORRIS BLVD.;Florida;Orange;Winter Park;2003-10-27;Parts per billion;11.583333;37.0;19;35;Parts per million;0.021417;0.04;9;34;Parts per billion;1.1125;2.0;20;;Parts per million;0.520833;1.0;19;
56289;26;163;16;2451 MARQUETTE;Michigan;Wayne;Detroit;2000-06-09;Parts per billion;23.333333;54.0;22;51;Parts per million;0.059333000000000004;0.081;11;114;Parts per billion;4.075;8.3;2;;Parts per million;0.075;0.1;6;1.0
237715;22;33;9;1061-A Leesville Ave;Louisiana;East Baton Rouge;Baton Rouge;2002-09-27;Parts per billion;17.208333;33.0;21;31;Parts per million;0.016625;0.038;9;32;Parts per billion;5.521739;14.0;11;20.0;Parts per million;0.7695649999999999;1.4;21;
243022;29;510;86;MARGARETTA: 4520 Margaretta, St. Louis, MO 63115;Missouri;St. Louis City;St. Louis;2002-10-01;Parts per billion;19.166667;36.0;6;34;Parts per million;0.028292;0.047;10;40;Parts per billion;4.9166669999999995;11.0;4;16.0;Parts per million;0.775;0.8;0;9.0
351221;42;101;4;1501 E. LYCOMING AVE.;Pennsylvania;Philadelphia;Philadelphia;2003-03-25;Parts per billion;34.666667;51.0;3;48;Parts per million;0.024708;0.039;12;33;Parts per billion;5.442857;10.0;8;;Parts per million;0.46087;0.9;7;
421610;37;119;41;1130 EASTWAY DRIVE;North Carolina;Mecklenburg;Charlotte;2004-09-02;Parts per billion;6.7727270000000015;22.0;21;21;Parts per million;0.040375;0.063;11;61;Parts per billion;0.6;1.0;11;;Parts per million;0.354167;0.4;0;5.0
389222;6;75;6;100 WHITNEY YOUNG CIRCLE, SAN FRANCISCO;California;San Francisco;San Francisco;2004-08-04;Parts per billion;5.521739;9.0;7;8;Parts per million;0.0132919999999999;0.018000000000000002;20;15;Parts per billion;1.685714;2.0;17;;Parts per million;0.0619049999999999;0.1;8;
143178;20;209;21;1210 N. 10TH ST.,JFK RECREATION CENTER;Kansas;Wyandotte;Kansas City;2001-10-29;Parts per billion;17.791667;40.0;17;38;Parts per million;0.021667;0.035;9;30;Parts per billion;2.708333;4.0;8;6.0;Parts per million;0.508333;2.2;22;25.0
278992;6;13;2;2956-A TREAT BOULEVARD;California;Contra Costa;Concord;2003-06-21;Parts per billion;4.782609;8.0;19;8;Parts per million;0.030667000000000003;0.038;10;32;Parts per billion;0.0;0.0;2;;Parts per million;0.3375;0.4;15;5.0
314948;8;1;3001;3174 E. 78TH AVE.;Colorado;Adams;Welby;2003-03-12;Parts per billion;20.391304;47.0;20;44;Parts per million;0.02425;0.05;10;42;Parts per billion;0.733333;8.0;0;11.0;Parts per million;0.3;0.4;6;5.0
206203;6;67;6;DEL PASO-2701 AVALON DR, SACRAMENTO;California;Sacramento;Arden-Arcade;2002-08-10;Parts per billion;15.869565;34.0;20;32;Parts per million;0.070083;0.109;11;185;Parts per billion;1.434783;4.0;8;6.0;Parts per million;0.38260900000000003;0.6;6;
322449;20;107;2;COUNTY RD 1103 .7 MI SOUTH OF K-52;Kansas;Linn;Not in a city;2003-07-08;Parts per billion;2.208333;4.0;4;4;Parts per million;0.037792;0.05;12;42;Parts per billion;0.166667;1.0;1;1.0;Parts per million;0.020833;0.1;4;
16488;6;59;1003;2850 MESA VERDE DR EAST, COSTA MESA;California;Orange;Costa Mesa;2000-02-25;Parts per billion;22.130435000000002;39.0;19;37;Parts per million;0.0092859999999999;0.022000000000000002;13;19;Parts per billion;2.5142860000000002;4.0;11;;Parts per million;0.808696;2.6;23;
